SubjID,Sex,L1,IEPLevel,ADT_01,ADT_02,ADT_03,ADT_04,ADT_05,ADT_06,ADT_07,ADT_08,ADT_09,ADT_10,ReadingTotalScore
95,M,Arabic,3,0,0,0,0,0,0,0,1,0,0,5
96,F,Chinese,6,0,0,1,1,0,0,1,1,0,0,18
97,F,Chinese,4,0,0,0,0,0,0,0,0,0,0,16
98,M,Chinese,4,1,0,1,1,1,1,1,1,1,0,16
99,M,Chinese,6,1,1,1,1,0,1,1,0,1,0,24
100,M,Arabic,1,0,0,0,0,0,0,0,0,0,0,1
101,F,Korean,5,0,0,0,0,0,0,1,0,0,1,21
102,M,Arabic,5,1,0,0,1,1,0,1,0,0,0,11
103,M,Arabic,4,0,0,0,0,0,1,0,0,0,0,13
104,F,Chinese,6,1,1,1,1,1,1,1,1,0,1,29
105,M,Arabic,6,1,1,1,1,0,1,1,0,0,0,21
106,M,Arabic,4,0,0,0,0,0,0,0,0,0,1,23
107,F,Portuguese,5,1,1,0,1,0,1,1,0,1,1,17
108,F,Arabic,4,1,1,1,1,0,1,1,1,1,1,23
109,F,Arabic,5,0,0,1,0,0,0,1,1,0,0,11
110,M,Korean,6,0,0,0,1,0,0,0,0,0,0,16
111,F,Arabic,5,0,0,0,1,1,0,0,1,1,1,34
112,M,Arabic,3,0,1,0,1,1,0,0,0,0,1,17
113,M,Korean,6,1,1,1,0,1,0,1,0,0,0,5
114,F,Korean,5,1,1,1,1,1,0,1,0,1,1,25
115,M,Chinese,6,1,1,0,0,1,0,1,1,1,1,20
116,F,French,3,0,0,0,1,1,0,0,0,0,0,23
117,F,Korean,6,0,1,1,0,0,1,1,0,1,0,15
118,M,Spanish,6,1,1,1,1,0,0,1,1,1,1,19
119,M,Arabic,6,1,1,1,1,1,0,1,0,0,0,21
120,M,Chinese,6,0,0,1,1,0,1,1,1,1,1,20
121,M,Portuguese,2,1,1,0,0,1,0,1,0,0,1,22
122,F,Portuguese,4,1,0,1,1,0,1,1,1,1,1,16
123,F,Portuguese,6,1,1,1,1,0,1,0,0,0,0,19
124,M,Portuguese,3,1,1,1,0,1,0,1,1,1,1,22
125,F,Portuguese,4,1,1,1,1,0,1,1,0,1,1,12
126,F,Portuguese,2,1,1,1,1,0,1,1,1,1,1,19
127,F,Portuguese,6,1,1,0,1,1,1,1,1,1,1,12
128,F,Portuguese,5,1,1,0,1,1,0,0,1,0,1,31
129,M,Portuguese,2,1,1,1,1,0,0,0,0,1,0,21
130,M,Portuguese,5,1,1,1,1,0,1,1,1,0,0,6
131,M,Arabic,6,1,1,1,0,0,0,0,0,0,0,23
132,M,Arabic,2,1,1,1,0,0,0,0,0,0,0,11
133,M,Arabic,2,0,0,0,0,0,0,0,0,0,0,12
134,M,Arabic,4,0,0,0,0,0,0,0,0,0,0,17
135,M,Chinese,5,0,0,0,0,0,0,1,0,0,0,14
136,M,French,4,1,1,0,1,0,0,0,0,0,0,16
137,M,French,6,1,1,1,1,0,0,1,0,1,1,25
138,M,Arabic,4,1,1,1,0,0,0,0,1,0,0,13
139,M,Japanese,5,1,1,0,1,1,0,1,1,1,1,20
140,M,Portuguese,6,1,1,1,1,1,0,1,1,0,1,29
141,M,Portuguese,3,1,1,0,1,0,0,1,1,1,1,20
142,M,Portuguese,6,1,1,1,1,0,1,1,1,1,1,33
143,F,Portuguese,3,1,1,1,1,0,1,1,1,0,0,12
144,F,Portuguese,2,1,1,1,1,0,0,1,1,0,1,7
145,M,Portuguese,4,1,1,0,1,0,0,0,0,0,0,13
146,M,Portuguese,3,0,1,1,1,0,0,1,1,0,1,19
147,F,Portuguese,2,0,1,1,0,0,0,0,0,0,0,10
148,M,Portuguese,6,1,1,1,1,1,1,1,1,0,0,28
149,M,Portuguese,5,1,1,1,1,0,0,1,1,0,0,28
150,M,Arabic,3,1,0,0,0,0,0,0,1,0,1,12
151,M,Arabic,3,0,0,0,1,0,0,0,0,0,0,17
152,M,Portuguese,3,1,1,1,1,0,1,1,1,1,0,15
153,F,Portuguese,4,0,0,1,1,0,0,1,1,1,1,10
154,M,Chinese,5,1,0,1,1,0,1,0,1,0,0,15
155,F,Portuguese,6,1,1,1,0,0,0,1,1,0,1,24
156,M,Arabic,3,1,0,0,0,0,0,0,0,0,0,6
157,F,Arabic,6,1,1,1,1,0,1,1,1,1,1,29
158,F,Korean,5,1,1,1,1,1,0,1,0,1,0,21
